"","ICD9CM.1","Age","pm2p5","pm2p5_5","pm2p5_10","n"
"163"," 3069",37,2.444,6.2135,8.032875,1
"164"," 30746",1,11.69875,17.263,10.755905,1
"165"," 30781",35.4888888888889,15.1541965277778,14.8865719444444,14.4171526388889,90
"166"," 3079",35.8888888888889,15.6640277777778,14.4532955555556,12.7523781944444,9
"167"," 3089",30,27.78,14.977306,16.505461,5
"168"," 3090",28.6666666666667,9.53791666666667,8.7624825,7.83954041666667,3
"169"," 3102",54,17.6125,11.71525,13.3401875,1
"170"," 311",38.3636363636364,19.9343181818182,18.5073907954545,17.9079975,22
"171"," 3130",23,10.155,10.675825,11.8336625,1
"172"," 32723",50.5,12.0875,13.0796875,10.86474375,2
"173"," 33189",82,8.60675,14.506125,16.4299375,1
"174"," 3320",67.25,15.1328125,22.1844375,17.17941875,4
"175"," 3332",63,4.07,10.0615,8.5336625,1
"176"," 33385",43,9.0225,9.8947125,12.70139375,2
"177"," 33390",48,15.4625,8.41165,9.1129625,1
"178"," 33394",39,9.4425,9.6538,9.240525,1
"179"," 3340",53,4.49775,15.7339,17.4760125,1
"180"," 33520",69,42.6875,40.045,40.26375,1
"181"," 33720",30,5.4625,8.0843375,12.60341875,1
"182"," 33811",27.5,6.4994375,12.2902625,15.90325875,2
"183"," 33818",41.525,15.187445,16.969805875,15.98277453125,40
"184"," 33819",33,9.91875,12.9555,11.5085,1
"185"," 33828",44.3333333333333,11.3695833333333,11.3418,11.31065,3
"186"," 33829",28,7.17,6.4627,15.253475,1
"187"," 3383",20.625,12.158934375,11.5597964583333,13.2790838541667,24
"188"," 340",40.5,5.8375,6.8741775,7.941894375,2
"189"," 3429",62,5.46,15.5735,15.4544,1
"190"," 34290",66,12.0775,11.46755,8.8410375,1
"191"," 34500",12,15.874375,11.750975,12.71331875,2
"192"," 34510",19,13.2462239583333,16.0245129166667,16.1595804166667,24
"193"," 34520",5,4.14,11.076125,13.4804375,1
"194"," 3454",43,13.18625,14.99706,18.38653,1
"195"," 34550",10,4.25875,4.5185875,12.03741875,1
"196"," 34590",18.8,20.9438125,18.7392475,19.88801,10
"197"," 3460",29,16.3625,14.93775,11.5989375,1
"198"," 34600",21,4.60075,8.45865,9.9631,1
"199"," 3462",20.5,14.85625,21.212375,20.19333125,2
"200"," 34620",40,17.4771875,17.60571875,19.034429375,4
"201"," 3469",58.5,19.8725625,10.9217625,13.37798125,2
"202"," 34690",34.15859030837,16.2874290198238,16.2554087334802,16.0125506112335,227
"203"," 34691",23,15.8725,13.866575,12.806325,1
"204"," 3490",29.6,8.38575,10.362185,12.06698225,5
"205"," 34981",75,51.125,33.19325,22.2286125,1
"206"," 3501",49.25,15.70315625,14.9767625,16.207184375,4
"207"," 3510",41.4583333333333,15.4212114583333,15.4721766666667,15.5436875,24
"208"," 3540",33.25,19.52770625,21.444663125,18.6273659375,4
"209"," 3542",33.5,29.28375,25.6501625,19.45545625,2
"210"," 3549",10,37.08125,33.257975,38.2677375,1
"211"," 3556",46,20.9775,13.21225,28.663625,1
"212"," 3570",7,14.58,13.4954,13.0222825,1
"213"," 35800",27,5.78375,10.234,15.641625,1
"214"," 36000",54,5.035,15.534,12.4598125,1
"215"," 36041",7,11.98,11.746075,12.6397875,1
"216"," 3619",54.5,14.815625,18.48479375,19.627671875,4
"217"," 36230",36,5.55375,12.29375,11.1176125,1
"218"," 36320",29,17.1225,12.0845,13.3013125,1
"219"," 36400",60,5.5125,5.19855,6.003375,1
"220"," 3643",42.4285714285714,18.2874392857143,23.4676628571429,23.9078725,7
